"AÑOHECHO","Lugarhech","UNIDAD","Mes","RANGOetario","JovenAdulto","Genero","NACIONALIDAD","Camión","CeldaPabellón","HPC","Tránsito","LeoneraSaladeEspera","BuzonesCeldadeAislamiento","OficinaAdministrativa","OtroLugar","AgentesdeRequisa","AgentedeSeguridadInternaoJefe","DirectordelaUnidad","AgentesdeDivisiónTrasportes","MédicoEnfermero","AgentedelaPolicía","OtroAgente","MASDE1","BIENVENIDA","AISLAMIENTO","REQUISAS","TRASLADOS","REITEGROS","CIRCULACIÓN","MOTINES","RECLAMO","Reclamo_ind","OTROS","REQXCONFLICTO","RECUENTOS","REINTEG","PUÑOS","OIDOS","PATADAS","CACHEADAS","ASFIXIA","PUNTAZOSCORTES","PICANA","PILAHUM","PUENTE","QUEMADURAS","DUCHAFRI","ABUSOSEXUAL","GASPIMIENTA","PATA.PATA","OTROS_","PALOSES","ESCUDOS","ARMASBLA","BORCEGUÍES","ITAKAS","BALDEGOM","CABLESSOGAS","OTRO","BOMBA","PATGEN","PISO","ESPALDAS","ESPATADO","VENDADOS","DESNUDAR","ESCUPIT","PELOS","OTRACIR","CABEZA","EXTREMIDADES","ESPALDA","CARA","GENITALES","TOBILLOS","COSTILLAS","PLANTAPIE","TORSO","LESIONES","XDENUNC","PLACA","IDENTAGRE","AMEXDEN","SINLESIONES","SANCIONpostagresion"
2009,"Unidad penitenciaria","U6 - Instituto de Seguridad y Resocialización","Sin datos","Sin dato","Sin datos","Varón","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Sin datos","Sin dato","Sin datos","Varón","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Enero","35 a 44 años","Mayor","Varón","Argentina","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","Sin datos","Sin datos","NO","Sin datos","SI"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Enero","35 a 44 años","Mayor","Varón","Argentina","NO","SI","NO","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","NO","SI","NO","SI","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","Sin datos","NO","NO","NO","SI","SI","SI","NO","NO","NO","NO","SI","SI","SI","SI","SI","NO","NO","NO","SI","NO","SI","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Enero","18 a 24 años","Joven Adulto","Varón","Argentina","NO","SI","NO","NO","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NO","NO","SI","NO","Sin datos","NO","Sin datos","NO","NO","SI","NO","SI","SI","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","SI","NO","NO","NO","NO","NO","SI","Sin datos","Sin datos","SI, a todos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Enero","25 a 34 años","Mayor","Varón","Extranjera","NO","SI","NO","NO","NO","NO","NO","NO","SI","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","SI","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","NO","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","SI","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","NO","Sin datos","Sin datos","NO","NO","NO"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Enero","25 a 34 años","Mayor","Varón","Argentina","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","SI","NO","NO","NO","NO","NO","NO","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","NO","NO","NO","NO","NO","Sin datos","Sin datos","Sin datos","Sin datos","NO","Sin datos","Sin datos","Sin datos","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","NO","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Enero","25 a 34 años","Mayor","Varón","Argentina","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","SI","Sin datos","NO","Sin datos","NO","NO","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","NO","Sin datos","Sin datos","SI","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","SI","Sin datos","Sin datos","SI, a todos","Sin datos","Sin datos","Sin datos"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Enero","25 a 34 años","Mayor","Varón","Argentina","NO","NO","SI","SI","NO","NO","NO","NO","SI","SI","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","SI","NO","NO","SI","Sin datos","NO","Sin datos","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","SI","NO","NO","SI","SI","NO","NO","NO","NO","NO","SI","SI","SI","SI","NO","NO","NO","NO","NO","NO","SI","NO","No pudo ver / no recuerda","Sin datos","NO","SI","NO"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Febrero","45 a 54 años","Mayor","Varón","Argentina","NO","SI","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","SI","Sin datos","NO","NO","NO","NO","SI","NO","NO","SI","Sin datos","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","NO","Sin datos","NO","NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","SI","SI, a todos","SI","SI","Sin datos"
2009,"Unidad penitenciaria","U4 - Colonia Penal de Santa Rosa, La Pampa","Febrero","18 a 24 años","Mayor","Varón","Argentina","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","SI","Sin datos","NO","Sin datos","NO","SI","SI","NO","SI","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","Sin datos","Sin datos","NO","NO","NO","NO","NO","NO","SI","SI","SI","SI","NO","SI","SI","NO","NO","SI","NO","Sin datos","SI, a todos","NO","NO","NO"
2009,"Unidad penitenciaria","U4 - Colonia Penal de Santa Rosa, La Pampa","Febrero","18 a 24 años","Joven Adulto","Varón","Argentina","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","NO","SI","NO","SI","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","SI","NO","Sin datos","Sin datos","NO","Sin datos","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","SI","SI","NO","SI","NO","NO","NO","SI","NO","Sin datos","SI, a todos","NO","NO","NO"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Febrero","25 a 34 años","Mayor","Varón","Argentina","NO","NO","NO","NO","SI","NO","NO","NO","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","SI","SI","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","NO","SI","NO","SI","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO","SI","NO","NO","SI","NO","SI","SI","SI","NO","SI, a todos","NO","NO","NO"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Febrero","25 a 34 años","Mayor","Varón","Argentina","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","SI","SI","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","NO","NO","NO","SI","NO","SI","SI","SI","Sin datos","Sin datos","SI","NO","NO"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Febrero","18 a 24 años","Joven Adulto","Varón","Argentina","NO","NO","NO","NO","SI","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","Sin datos","NO","Sin datos","NO","NO","NO","NO","NO","SI","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","No pudo ver / no recuerda","SI, a todos","NO","NO","NO"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Febrero","45 a 54 años","Mayor","Varón","Argentina","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","SI","Sin datos","NO","Sin datos","NO","NO","SI","NO","SI","NO","NO","NO","Sin datos","NO","NO","NO","SI","NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","NO","SI","SI","SI","NO","NO","SI","NO","NO","NO","SI","SI","SI","SI","SI","SI","SI","NO","SI","SI","Sin datos","NO","SI, a todos","SI","SI","Sin datos"
2009,"Unidad penitenciaria","Complejo Federal de Jóvenes Adultos","Febrero","18 a 24 años","Joven Adulto","Varón","Argentina","NO","NO","NO","SI","NO","SI","NO","SI","SI","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","NO","Sin datos","NO","Sin datos","NO","NO","SI","NO","SI","SI","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO","No pudo ver / no recuerda","Sin datos","NO","NO","SI"
2009,"Unidad penitenciaria","CPF II- Marcos Paz","Febrero","25 a 34 años","Mayor","Varón","Argentina","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","SI","SI","NO","SI","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO","SI, a todos","SI","NO","NO"
2009,"Unidad penitenciaria","CPF I- Ezeiza","Marzo","18 a 24 años","Joven Adulto","Varón","Argentina","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","Sin datos","NO","NO","SI","NO","SI","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","Sin datos","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI, a todos","NO","NO","NO"
